2020-12-27: Ap.Muthu   Cloned nuform.php for sql optimisation
2020-12-26: smalos     Added documentation from forum on deployment migration
2020-12-18: smalos     additional upstream German language strings translated
2020-12-18: smalos     set_denied setting now in web user interface
2020-12-15: Janusz     Fixed Number Format on reports without currency
2020-12-14: Upstream   Fix to restore window after maximising
2020-12-12: Ap.Muthu   Case sensitive string match synch for Launch From
2020-12-12: Ap.Muthu   Reduced translation strings by synching whitespace
2020-12-12: Ap.Muthu   nbsp typo in nubuilder4.sql fixed
2020-12-12: smalos     MultiLine Title JS function added
2020-12-12: smalos     Tamil Strings with <br> avoiding truncation
2020-12-12: smalos     Removed unused objects/forms (Run Update required)
2020-12-12: Ap.Muthu   Entity Relationship Diagrams for Nubuilder4
2020-12-07: Ap.Muthu   Pizza Tutorial DB changes WIP
2020-12-07: Ap.Muthu   docs updated
2020-12-07: Ap.Muthu   nubuilder4.sql CHARSET redundancies fixed
2020-12-07: Ap.Muthu   Added ERD and SQL of tables used in Pizza Delivery Software nuBuilder4 Tutorial
2020-12-06: smalos     Fixed nuSetStartingTab() error on no objects
2020-12-06: Ap.Muthu   Cloned nuform.js for fixing nuSetStartingTab() on no objects
2020-12-06: smalos     Fixed search keys F3 and CTRL+f by resetting window.nuNEW=0
2020-12-06: Ap.Muthu   Cloned nucommon.js for fixing CTRL key Up for search fix
2020-12-06: smalos     Fixed Label Umlaut in tcpdf_fonts.php
2020-12-06: Ap.Muthu   Cloned tcpdf/include/tcpdf_fonts.php for label Unmlaut fix
2020-12-06: Ap.Muthu   Added Video Tutorials List
2020-12-06: Ap.Muthu   Ordered translations with separate bulk insert for each language, completed Russian, Armenian and German translations
2020-12-05: Ap.Muthu   Localised font-awesome css and font files
2020-12-05: Ap.Muthu   Cloned index.php for localising font-awesome css and font files
2020-12-05: Ap.Muthu   Fixed return value as non function in nuemailer.php
2020-12-05: Ap.Muthu   Cloned nuemailer.php for fixes
2020-12-05: Ap.Muthu   Increased height of all buttons from 30px to 45px for Non English strings in nuhome pages - Setup, Builders
2020-12-05: Ap.Muthu   Added 55 missing Hindi translation strings - all 211 strings translated
2020-12-05: Ap.Muthu   Added Tamil translation strings
2020-12-05: Ap.Muthu   Removed duplicates in translation strings and extraneous characters and training spaces in them
2020-12-05: Ap.Muthu   Cloned sql file for fixes
